ID,MIASTO,KOD_POCZTOWY,ULICA,NR_BUDYNKU,NR_LOKALU
8509,Barbarka,93-740,Paproci,543,
8510,Kupimierz,41-892,Jabloniowa,935,86
8511,Kraplewo,27-133,Mlynska,362,
8512,Leszczyniec,90-965,Polna,609,
8513,Krzepczów,30-707,Zlota,644,72
8514,Lubartów,30-503,Szmaragdowa,33,25
8515,Barak,55-203,Zlotych Klosow,531,
8516,Balczewo,61-130,Slonecznikow,532,34
8517,Landzmierz,32-100,Brzozowa,337,
8518,Barbarka,50-793,Zorzy,645,
8519,Kupientyn,76-173,Alabastrowa,590,63
8520,Baraki,69-320,Czeresniowa,725,
8521,Bagniewko,23-415,Wypoczynkowa,990,53
8522,Bajdyty,19-508,Paproci,980,
8523,Baranów,66-209,Slonecznikow,759,16
8524,Bagrowo,30-239,Harcerska,369,
8525,Lamk,36-112,Sprezarkowa,826,27
8526,Rogazy,35-985,Saperow,488,44
8527,Bajdyty,67-926,Zalesie,743,79
8528,Baranki,91-131,Sprezarkowa,362,
8529,Badulki,22-567,Truskawkowa,756,96
8530,Kramarzyny,88-676,Grodzka,629,8
8531,Baczki,71-997,Deszczowa,261,34
8532,Baranówka,93-362,Tychowska,833,
8533,Banachy,88-397,Makow,442,19
8534,Leszczynki,28-667,Letnia,971,
8535,Rogawka,43-355,Dobra,218,
8536,Laliki,41-837,Golebia,952,
8537,Balbinów,82-178,Szeroka,803,35
8538,Lasek,41-133,Tkacka,438,
8539,Kuranów,36-200,Harcerska,511,
8540,Krapkowice,67-175,Wesola,819,11
8541,Lubatówka,76-960,Slonecznikow,204,55
8542,Kupowo,26-704,Pszeniczna,281,46
8543,Rogity,28-471,Wrzosow,954,
8544,Leszczynki,18-407,Malownicza,696,99
8545,Antoniny,33-151,Makow,796,84
8546,Bagniewo,75-724,Solecka,749,13
8547,Grabianka,28-417,Tychowska,190,
8548,Adamowa,38-553,Krokusow,180,42
8549,Leszczyn,50-694,Kwiatowa,257,58
8550,Bachmackie,20-894,Syrenki,347,
8551,Rogawka,62-884,Rumiank�w,737,67
8552,Barak,18-998,Boczna,624,32
8553,Gorzkowiczki,28-957,Harcerska,145,
8554,Barbarówka,22-684,Slowianska,22,
8555,Lady,89-252,Letnia,710,
8556,Krzepice,30-143,Alabastrowa,678,
8557,Balików,15-483,Zielone Wzgorze,292,4
8558,Adamka,37-174,Szafirkow,693,35
8559,Balków,65-853,Sarzynska,571,
8560,Baranica,12-236,Torfowa,209,
8561,Laski,74-732,Krawiecka,984,58
8562,Kurabka,34-942,Macierzy,22,64
8563,Krajów,69-612,Owsiana,283,
8564,Balków,65-638,Plowce,451,54
8565,Laskowo,88-654,Modrzewiowa,301,
8566,Antonina,67-743,Papiernicza,17,7
8567,Lamkowo,37-681,Blawatkow,633,
8568,Bagieniec,33-473,Jachtowa,959,68
8569,Krapkowice,63-621,Zakole,847,79
8570,Leszkowy,36-939,Strumykowa,593,
8571,Laski,85-519,Poziomkowa,156,
8572,Kranek,40-673,Teczy,941,53
8573,Lady,39-574,Rubinowa,746,
8574,Anteczków,23-196,Biwakowa,713,
8575,Luberadzyk,67-224,Wedrowna,527,99
8576,Ladorudzek,49-646,Kra�cowa,974,
8577,Banachy,13-200,Bursztynowa,845,11
8578,Gorzuchów,75-116,Gwiezdna,146,56
8579,Baciuty,70-873,Gajowa,957,57
8580,Badulki,74-698,Mirtowa,961,85
8581,Baczyn,11-223,Liliowa,175,38
8582,Rogity,52-715,Zurawia,468,86
8583,Krzepielów,97-863,Magnolii,308,31
8584,Bachotek,97-892,Gozdzikow,519,
8585,Las,31-501,Wodnika,26,20
8586,Lubaty,75-654,Strefowa,674,3
8587,Lamkowizna,89-326,Dobra,557,20
8588,Kupiatycze,94-311,Gajowa,450,79
8589,Krzemykowo,94-990,Akacjowa,370,78
8590,Antoninek,51-210,Makow,927,
8591,Lamk,26-871,Blekitna,504,
8592,Antonielów,39-119,Tatarakow,441,16
8593,Kupienin,81-551,Rzepakowa,900,76
8594,Lubatówka,14-712,Wakacyjna,640,
8595,Krzeptów,51-528,Slowianska,57,60
8596,Adamowo,77-784,Hebanowa,773,46
8597,Godziszewo,71-358,Magnolii,8,51
8598,Kupinin,84-797,Wedrowna,647,
8599,Kramarzewo,78-395,Promykowa,276,
8600,Rogalin,50-500,Krawiecka,308,
8601,Lubenia,22-948,Gajowa,943,91
8602,Laskownica,88-411,Krokusow,935,
8603,Barchnowy,88-222,Krokusow,642,49
8604,Adaminowo,36-510,Cisowa,871,94
8605,Adamowo,65-451,Limbowa,201,
8606,Kurabka,69-690,Zyzna,836,
8607,Landzmierz,65-861,Brzoskwiniowa,781,
8608,Barcin,49-389,Slowianska,45,37
8609,Bagny,79-547,Spoldzielcza,206,
8610,Annówka,10-907,Sarzynska,307,
8611,Balików,45-420,Wierzbowa,230,7
8612,Kupinin,64-652,Zgoda,106,
8613,Bandrów,13-297,Smiala ,246,77
8614,Rogi,71-541,Jodlowa,428,
8615,Antoninów,75-520,Strusia,166,44
8616,Abramów,60-917,Glogowa,503,49
8617,Adamówek,34-421,Zeglarska,1,2
8618,Barak,37-843,Rubinowa,322,
8619,Bagatelka,12-812,Letnia,612,31
8620,Lasek,75-626,Wisniowa,12,
8621,Langanki,65-573,Ptasia,515,42
8622,Krajów,53-126,Zielona,622,
8623,Adamczowice,38-125,Ziemowita,330,69
8624,Lubaszowa,32-662,Wodnika,133,
8625,Baniocha,81-652,Dobra,954,
8626,Adamowizna,76-344,Sadowa,628,
8627,Bachorze,41-236,Tatarakow,945,
8628,Lakiele,52-802,Harcerska,67,1
8629,Antonówka,12-656,Sadowa,371,69
8630,Balcerów,30-843,Dworcowa,88,
8631,Abramów,23-485,Irysow,102,
8632,Kranek,41-863,Tradycji,634,
8633,Bagdad,94-868,Niezapominajek,70,24
8634,Laskownica,35-787,Saperow,884,
8635,Bagna,41-235,Sarzynska,286,82
8636,Adamin,15-758,Makow,382,55
8637,Bagniewko,92-303,Gwiezdna,240,
8638,Antoniówka,86-997,Ulanska,780,
8639,Bagno,22-536,Promykowa,108,
8640,Balice,30-169,Rzepakowa,899,
8641,Balinka,82-451,Pszeniczna,21,67
8642,Gorzupia,18-473,Promykowa,301,
8643,Lubianków,18-490,Plowce,344,22
8644,Gorzyczany,60-269,Sadowa,432,44
8645,Rogazy,36-500,Macierzy,7,99
8646,Barany,33-234,Strefowa,577,62
8647,Kupnina,13-870,Modrzewiowa,687,33
8648,Bañki,84-336,Pocztowa,66,5
8649,Lubenka,64-495,Swiatowida,780,
8650,Adamczycha,59-971,Sarzynska,167,96
8651,Barchaczów,80-450,Deszczowa,528,
8652,Bagdad,46-957,Nagietkow,161,
8653,Lubaszowa,59-782,Syrenki,392,
8654,Baliki,90-702,Roz,331,
8655,Bakaniuk,75-334,Roz,784,
8656,Kramarzyny,76-549,Gajowa,123,73
8657,Abramowice,88-375,Lniana,338,44
8658,Antonie,98-782,Rycerska,236,78
8659,Baranowice,56-908,Polna,21,
8660,Barbarówka,66-169,Roz,870,28
8661,Barak,37-851,Zytnia,916,
8662,Grabianka,71-620,Przyjazni,305,3
8663,Bañki,28-501,Slupska,888,
8664,Bachmatówka,15-964,Wiklinowa,540,
8665,Lafajetowo,53-289,Tradycji,536,
8666,Rogalki,83-421,Solecka,221,61
8667,Lacka,87-850,Letnia,395,
8668,Achrymowce,54-708,Daktylowa,699,
8669,Kupowo,74-482,Jabloniowa,138,
8670,Krzepielów,92-343,Grodzka,912,
8671,Bañki,42-101,Harcerska,607,52
8672,Antonówka,65-672,Lesna,347,40
8673,Leszkowice,31-683,Gwiezdna,821,14
8674,Kupin,18-337,Polnocna,371,
8675,Ladeniska,29-608,Saperow,97,
8676,Lubejki,71-391,Strefowa,434,82
8677,Leszkomin,32-388,Jabloniowa,381,18
8678,Kupimierz,93-601,Azaliowa,893,67
8679,Gorzów,29-275,Wrzosow,551,23
8680,Kupno,70-364,Jeziorna,813,
8681,Balewo,25-595,Wedrowna,673,
8682,Rogieniczki,68-976,Kra�cowa,870,50
8683,Lubatka,45-634,Zlota,793,90
8684,Anteczków,62-445,Wspolna,7,
8685,Lubaszowa,56-929,Slowianska,527,27
8686,Ladeniska,10-627,Liliowa,151,
8687,Leszczyniec,35-966,Polna,710,39
8688,Kupienin,17-484,Kasztanowa,457,36
8689,Grabce,98-545,Jeziorna,556,47
8690,Ladzin,69-647,Zacisze,734,28
8691,Laskowa,26-409,Zurawia,474,62
8692,Lubatówka,29-108,Promykowa,295,
8693,Bagnica,62-972,Pigwowa,254,62
8694,Krakowiany,31-877,Zielona,855,
8695,Bandrów,54-250,Jesionowa,306,
8696,Rogazy,99-784,Blawatkow,3,
8697,Balewko,70-379,Szafirkow,282,18
8698,Laska,72-458,Klonowa,91,
8699,Antoniewice,57-945,Niezapominajek,169,
8700,Baligród,98-945,Palmowa,982,
8701,Bagna,18-572,Morska,308,74
8702,Leszkomin,75-665,Promykowa,949,
8703,Balin,28-626,Gajowa,451,13
8704,Lady,26-251,Gajowa,604,
8705,Baranówka,80-194,Paproci,978,45
8706,Bajtkowo,24-537,Cisowa,841,
8707,Lubecko,18-361,Harcerska,698,
8708,Landzmierz,91-330,Jesionowa,455,
8709,Leszczynka,83-701,Szkutnicza,999,
8710,Barbarówka,80-499,Bliska,391,10
8711,Adamin,51-636,Biwakowa,983,
8712,Antonów,32-857,Wisniowa,675,
8713,Abramów,99-967,Kra�cowa,337,24
8714,Lubaty,10-155,Tkacka,881,68
8715,Krzepczów,21-613,Wichrowa,409,70
8716,Grabianowo,21-869,Wodnika,859,
8717,Barce,17-685,Debowa,144,17
8718,Balbinów,73-421,Mlynska,697,
8719,Landek,56-944,Ulanska,614,74
8720,Antoniewice,15-495,Ptasia,494,39
8721,Bachowice,89-657,Jagodowa,621,8
8722,Rogienice,83-425,Szafranowa,901,
8723,Anteczków,38-959,Zlotych Klosow,281,
8724,Barankowo,16-388,Sosnowa,114,31
8725,Bajdy,31-125,Solecka,862,28
8726,Barcin,54-518,Krakowska,935,80
8727,Adampol,36-508,Liliowa,526,
8728,Antoninek,65-143,Rybacka,266,
8729,Rogazy,63-485,Slupska,264,7
8730,Bandrów,33-717,Szeroka,370,93
8731,Balice,36-460,Pogodna,662,
8732,Adamka,74-161,Zacisze,457,37
8733,Kramkowo,62-667,Szeroka,415,
8734,Kramarzówka,91-168,Wrzesniowa,489,45
8735,Adamówka,98-905,Kra�cowa,227,61
8736,Balice,72-323,Zurawinowa,721,
8737,Antoniny,16-359,Zacisze,377,60
8738,Krakuszowice,88-739,Szafirkow,248,
8739,Leszkowice,32-144,Grodzka,124,45
8740,Baldwinowice,29-951,Czeresniowa,529,
8741,Krzepocinek,20-938,Grodzka,87,
8742,Balcerów,99-834,Daleka,449,
8743,Krzepocin,98-393,Zlotych Klosow,488,
8744,Antonie,45-192,Deszczowa,623,
8745,Leszkowy,38-213,Rzepakowa,868,51
8746,Bachlawa,80-790,Polnocna,427,95
8747,Leszczyniak,86-886,Rzemieslnicza,286,
8748,Lubcz,40-955,Olchowa,399,10
8749,Barchnowy,71-761,Tychowska,400,
8750,Luberadzyk,25-580,Grodzka,575,
8751,Bagicz,32-142,Tulipanow,370,3
8752,Lasanka,59-327,Debowa,284,
8753,Kupnina,30-750,Tychowska,505,
8754,Krzeptów,74-214,Golebia,737,
8755,Kramarzewo,34-582,Szeroka,169,
8756,Gorzykowo,96-683,Stoczniowcow,814,86
8757,Bañkowszczyzna,52-344,Debowa,518,
8758,Grabianowo,62-135,Spoldzielcza,65,
8759,Krzepocinek,87-145,Pigwowa,452,98
8760,Leszczyna,94-387,Wierzbowa,24,
8761,Baraniec,48-141,Sosnowa,705,
8762,Kramarzyny,62-428,Slaska,561,
8763,Grabek,28-759,Kupiecka,328,
8764,Baranki,43-533,Szmaragdowa,254,26
8765,Badów,63-122,Gęsia,173,
8766,Barce,93-589,Zielone Wzgorze,346,
8767,Kupimierz,87-107,Plowce,585,85
8768,Adamowa,10-192,Jarzebinowa,336,
8769,Barankowo,92-583,Szafirkow,224,96
8770,Bachów,75-341,Pigwowa,725,5
8771,Abramowice,68-712,Ulanska,521,
8772,Bachorzewo,67-125,Magnolii,67,15
8773,achanowo,68-607,Jagodowa,80,62
8774,Luberadz,20-788,Rubinowa,740,
8775,Barchlin,88-632,Gajowa,400,
8776,Leszkowy,84-485,Mlynska,589,54
8777,Adamczycha,20-858,Smiala ,23,5
8778,Leszkowice,47-438,Orzechowa,541,20
8779,Grabek,91-770,Mahoniowa,713,
8780,Godziszów,25-623,Tulipanow,450,74
8781,Lubiana,97-914,Slowikow,889,36
8782,Godziszowa,54-181,Opalowa,416,
8783,Bachury,65-907,Spacerowa,926,33
8784,Rogalino,98-653,Sportowa,165,50
8785,Krzepocin,50-912,Ptasia,919,
8786,Balewko,35-148,Wedrowna,525,
8787,Laskowiec,42-111,Rubinowa,215,44
8788,Barcino,22-339,Tatarakow,549,73
8789,Grabianowo,16-935,Promykowa,851,
8790,Luberadz,85-181,Sosnowa,227,
8791,Krzepocin,56-400,Mlynska,380,
8792,Antomieszki,65-652,Sosnowa,534,
8793,Lakiele,60-469,Panoramiczna,978,18
8794,Annówka,79-796,Wodnika,334,13
8795,Leszkomin,12-933,Sarzynska,250,22
8796,Lubcz,16-974,Swiatowida,193,53
8797,Rogielkajmy,53-500,Rybacka,329,
8798,Barchaczów,70-777,Slaska,621,56
8799,Balnica,93-700,Podmiejska,106,11
8800,Leszkowy,43-284,Krotka,874,48
8801,Rogielkajmy,43-612,Limbowa,618,20
8802,Kranek,51-183,Przyjazni,883,41
8803,Bagniewko,13-905,Wesola,392,
8804,Baranówka,99-941,Biwakowa,481,0
8805,Bajtkowo,85-516,Mlodosci,734,
8806,Gorzyczany,17-473,Wypoczynkowa,791,
8807,Adamówka,64-719,Wiatrow,324,
8808,Antonin,75-127,Alabastrowa,178,
8809,Bachorza,77-537,Spokojna,875,81
8810,Antonów,21-225,Swiatowida,606,
8811,Adamierz,39-106,Rozana,541,
8812,Laryszów,93-410,Zorzy,966,
8813,Adampol,87-424,Kra�cowa,44,51
8814,Barcice,45-733,Pogodna,441,57
8815,Kupiatycze,69-246,Harcerska,221,75
8816,Antonowo,11-441,Makow,946,66
8817,Antoniewko,46-582,Lakowa,336,
8818,Banino,34-863,Tkacka,60,12
8819,Krzepiszyn,30-122,Strusia,143,42
8820,Baraki,96-467,Smiala ,781,26
8821,Baldram,19-274,Widokowa,269,45
8822,Baranowice,30-710,Rzemieslnicza,6,
8823,Adamki,76-803,Krokusow,740,56
8824,Leszczynki,67-712,Zorzy,486,
8825,Bachorza,72-615,Strusia,740,4
8826,Kramsk,90-166,Jodlowa,293,47
8827,Kraków,58-455,Topolowa,511,61
8828,Bachórz,73-345,Wodnika,516,
8829,Balbinów,58-669,Wodnika,892,28
8830,Laliny,39-394,Sosnowa,902,
8831,Kupimierz,75-171,Dworcowa,505,
8832,Badów,68-723,Szeroka,183,
8833,Kupce,94-213,Bzow,743,51
8834,Landzmierz,40-281,Kalinowa,364,20
8835,Antonów,67-541,Sanatoryjna,492,
8836,Baranówek,89-953,Spacerowa,386,
8837,Krzepczów,40-780,Parkowa,11,
8838,Lafajetowo,76-196,Orzechowa,2,
8839,Abisynia,60-207,Szpitalna,614,
8840,Leszkomin,48-170,Jasminowa,759,
8841,Laliny,58-164,Mahoniowa,591,
8842,Bagna,37-187,Stokrotek,649,
8843,Krakowice,60-685,Bajkowa,212,
8844,Rogity,82-493,Olchowa,343,67
8845,Barciany,46-500,Lesna,817,97
8846,Bañki,29-488,Magnolii,116,51
8847,Gorzkowiczki,69-861,Opalowa,158,2
8848,Laryszów,54-965,Czeresniowa,724,5
8849,Baniewice,90-668,Wisniowa,532,
8850,Bagrowo,53-401,Strefowa,168,
8851,Baniewice,53-730,Promowa,797,
8852,Baczków,25-901,Jarzebinowa,127,80
8853,Rogawica,50-771,Zurawia,697,
8854,Lubczyna,54-653,Poziomkowa,990,47
8855,Krzepielów,47-301,Parkowa,908,1
8856,Lubaty,18-162,Opalowa,239,
8857,Barchlin,91-618,Zalesie,233,
8858,Bajtkowo,85-696,Rubinowa,380,
8859,Bagniewo,33-261,Zbozowa,210,80
8860,Adaminowo,67-241,Blekitna,343,87
8861,Luberadzyk,17-318,Grodzka,767,
8862,Kupnina,48-962,Daktylowa,426,71
8863,Rogiedle,78-448,Spokojna,140,
8864,Lalin,71-355,Czeremchowa,715,
8865,Rogalki,38-808,Wedrowna,125,65
8866,Lubczyno,99-311,Czeremchowa,1,
8867,Bagienko,31-479,Akacjowa,855,
8868,Adamka,15-504,Slaska,19,
8869,Antonin,71-760,Promowa,509,
8870,Kupienin,71-354,Jeziorna,71,32
8871,Rogielkajmy,97-376,Azaliowa,48,99
8872,Adamówek,64-232,Wesola,568,
8873,Rogiedle,46-313,Slupska,901,
8874,Antonów,22-597,Saperow,557,53
8875,Barcino,41-867,Tkacka,345,
8876,Krapkowice,84-560,Strumykowa,552,84
8877,Langanki,57-374,Teczy,695,
8878,Barbarówka,53-754,Cisowa,992,
8879,Leszkowy,12-989,Kupiecka,698,
8880,Barbarka,24-454,Sprezarkowa,951,
8881,Baranki,60-424,Truskawkowa,694,
8882,Bagatelka,59-515,Sportowa,79,
8883,Balin,14-696,Palmowa,152,
8884,Barchnowy,44-886,Stoczniowcow,274,
8885,Kramkówka,13-426,Opalowa,983,27
8886,Barcie,79-218,Rozana,873,
8887,Antonielów,53-477,Jagodowa,327,
8888,Lakiele,34-946,Modrzewiowa,961,49
8889,Balinka,26-958,Spoldzielcza,156,
8890,Barankowo,84-928,Kwiatowa,730,
8891,Baczyna,45-213,Pocztowa,725,46
8892,Grabarka,14-758,Roz,434,3
8893,Bagatelka,47-602,Letnia,90,
8894,Baraniec,82-175,Swiatowida,835,
8895,Lubenka,17-451,Smiala ,265,
8896,Abramów,29-530,Swierkowa,535,
8897,Rogatka,51-359,Slonecznikow,947,
8898,Kupienin,60-801,Skowronkow,539,
8899,Kupowo,37-856,Macierzy,223,56
8900,Krzesimowo,62-835,Wedrowna,526,
8901,Ladzin,98-307,Jesionowa,968,
8902,Antonowo,85-921,Jagodowa,258,53
8903,Gorzuchów,70-187,Ptasia,841,98
8904,Bagniuki,15-765,Cedrowa,8,41
8905,Baraki,87-390,Solecka,291,81
8906,Bagniewko,82-776,Pigwowa,330,39
8907,Lubcza,79-499,Brzozowa,142,
8908,Bale,46-464,Koronkowa,655,
8909,Bachórzec,20-324,Blawatkow,4,
8910,Krakuszowice,39-815,Zeglarska,204,
8911,Bajdyty,88-604,Strusia,808,
8912,Langanki,35-984,Szyprow,914,
8913,Krakówek,28-392,Sportowa,842,51
8914,Lubianka,73-528,Jesionowa,543,
8915,Ladeniska,93-327,Tradycji,433,
8916,Bachórz,39-580,Blekitna,209,
8917,Gorzupia,60-144,Gerberowa,852,83
8918,Luberadzyk,62-687,Podmiejska,549,88
8919,Bajdyty,69-353,Podmiejska,800,
8920,Adamkowo,27-914,Pogodna,873,84
8921,Lacka,99-514,Rybacka,495,65
8922,Kupna,25-921,Rozana,497,57
8923,Banachy,70-469,Pszeniczna,262,
8924,Lubaszowa,45-642,Rzepakowa,216,
8925,Lasek,39-526,Dobra,497,
8926,Balin,39-408,Torfowa,788,62
8927,Leszkiemie,34-979,Truskawkowa,814,
8928,Bachorzew,48-749,Sosnowa,865,88
8929,Kurabka,65-416,Niepodleglosci,116,54
8930,Lubcz,15-263,Torfowa,310,
8931,Bagatele,41-250,Tradycji,368,28
8932,Grabianów,94-226,Zwirowa,353,63
8933,Lubiana,80-505,Lakowa,420,
8934,Leszkiemie,13-644,Sprezarkowa,530,67
8935,Rogi,53-186,Wiatrow,958,
8936,Krakowice,23-529,Spacerowa,679,84
8937,Rogieniczki,17-203,Wedrowna,813,76
8938,Gorzuchowo,56-824,Morska,724,74
8939,Adamów,78-573,Rzepakowa,984,88
8940,Rogity,62-797,Spacerowa,888,
8941,Krzemykowo,13-793,Rumiank�w,33,
8942,Barany,99-791,Diamentowa,395,95
8943,Antoniny,25-341,Smiala ,714,30
8944,Rogatka,30-208,Jasminowa,595,
8945,Bachorzyn,71-837,Zwyciestwa,258,84
8946,Leszczyn,25-851,Bursztynowa,277,
8947,Baldram,80-538,Rzeczna,35,78
8948,Kupowo,49-100,Wesola,321,93
8949,Bajerze,67-313,Modrzewiowa,961,80
8950,Luberadz,59-278,Zielone Wzgorze,374,73
8951,Lubianków,94-805,Sportowa,917,
8952,Leszkowy,83-349,Letnia,666,84
8953,Rogalino,16-370,Zwirowa,99,
8954,Bachorzewo,21-326,Roz,588,
8955,Luberadzyk,79-677,Bliska,895,
8956,Laliki,45-260,Sarzynska,102,
8957,Kramarka,38-696,Spoldzielcza,397,92
8958,Laliki,93-856,Czeremchowa,374,
8959,Lubiana,35-199,Gęsia,378,
8960,Ladorudz,25-201,Szyprow,93,
8961,Baczyna,19-366,Opalowa,861,
8962,Krzepocin,46-973,Zbozowa,603,31
8963,Lubianki,81-706,Limbowa,430,4
8964,Antonowo,39-224,Spoldzielcza,379,48
8965,Adamowo,39-293,Gozdzikow,166,48
8966,Gorzów,47-244,Bursztynowa,505,
8967,Kramarzewo,80-331,Teczy,750,
8968,Adaminowo,15-528,Plowce,873,
8969,Barankowo,38-478,Strefowa,329,46
8970,Antoniew,79-939,Paproci,963,93
8971,Abisynia,18-358,Brzozowa,83,
8972,Adamka,63-177,Torfowa,60,
8973,Bagicz,95-229,Wspolna,315,
8974,Annówka,61-498,Dobra,234,47
8975,Rogalinek,35-410,Ptasia,518,44
8976,Gorzkowice,60-900,Grodzka,407,28
8977,Baranówek,60-111,Brzoskwiniowa,418,
8978,Kraków,88-925,Letnia,111,36
8979,Gorzyczki,98-726,Pogodna,349,
8980,Rogazy,47-862,Jasna,396,
8981,Leszczynki,91-237,Rubinowa,238,
8982,Antolin,19-488,Panoramiczna,244,
8983,Laskowo,17-542,Sarzynska,257,89
8984,Bachorze,29-905,Leszczynowa,916,42
8985,Adamowo,45-152,Zytnia,782,49
8986,Antolin,37-872,Sezamkowa,392,
8987,Badrzychowice,58-775,Wiklinowa,101,
8988,Balinka,32-908,Olchowa,309,
8989,Bagna,86-317,Mirtowa,989,22
8990,Antoniewice,26-112,Zwyciestwa,825,38
8991,Kupiatycze,34-462,Zalesie,617,67
8992,Banino,95-158,Wisniowa,550,20
8993,Krakowice,45-524,Jasminowa,850,
8994,Antoniewice,70-585,Krakowska,510,94
8995,Adamierz,67-662,Paproci,941,39
8996,Bagdad,78-673,Malinowa,760,
8997,Rogatka,15-609,Krokusow,590,
8998,Lalin,96-553,Tychowska,86,
8999,Adamówek,68-375,Wedrowna,139,
9000,Krzepocin,31-788,Rzepakowa,882,
9001,Godziszewo,50-256,Swierkowa,964,
9002,Lubasz,11-706,Modrzewiowa,470,
9003,Krzepin,92-280,Grodzka,217,20
9004,Antonówka,95-691,Promykowa,340,
9005,Adaminowo,67-632,Biwakowa,796,
9006,Rogalinek,15-851,Wypoczynkowa,999,
9007,Adamów,35-703,Sloneczna,202,
9008,Lubian,29-818,Dobra,284,
9009,Kupna,86-318,Orlikow,634,
9010,Gorzyczki,19-116,Slowianska,693,
9011,Kupno,99-353,Wspolna,485,19
9012,Bagatele,55-240,Orlikow,205,75
9013,Adamowa,29-149,Poziomkowa,105,20
9014,Kupiatycze,23-840,Jabloniowa,288,
9015,Barchnowy,28-983,Cedrowa,667,
9016,Gorzyce,41-389,Rozana,477,
9017,Gorzyca,55-161,Limbowa,38,
9018,Lubianki,75-805,Zlota,851,
9019,Banaszki,22-482,Jesionowa,873,
9020,Lubaty,43-350,Ziemowita,96,
9021,Lamk,91-470,Nasturcji,19,
9022,Kramsk,57-284,Jasna,769,
9023,Lafajetowo,88-355,Sarzynska,454,
9024,Lubiana,45-888,Spacerowa,167,
9025,Luberadzyk,44-684,Zielone Wzgorze,971,
9026,Landek,23-437,Cedrowa,270,68
9027,Krzepczów,98-567,Daleka,834,
9028,Laseczno,29-908,Strefowa,648,0
9029,Banie,35-625,Zefirowa,669,
9030,Bagny,81-730,Tkacka,876,71
9031,Bagienki,89-921,Diamentowa,571,
9032,Balków,36-210,Projektantow,209,41
9033,Grabce,13-381,Teczy,332,
9034,Grabianów,98-473,Rycerska,643,
9035,Lamkówko,37-954,Niepodleglosci,976,
9036,Annówka,48-264,Ptasia,645,
9037,Krakowiany,29-426,Gerberowa,393,42
9038,Antoninek,68-634,Wesola,663,
9039,Baraniec,91-863,Prosta,930,
9040,Bachorza,58-590,Orlikow,144,56
9041,Antomieszki,98-567,Zbozowa,953,
9042,Abramów,62-286,Mahoniowa,757,
9043,Kupin,90-836,Szpitalna,550,35
9044,Rogaszyce,22-827,Rycerska,82,
9045,Lubasz,22-309,Szmaragdowa,414,71
9046,Krzepczów,52-462,Wesola,309,
9047,Rogalik,72-337,Rzemieslnicza,638,
9048,Rogieniczki,69-647,Nagietkow,944,
9049,Lamkowo,26-551,Rzeczna,316,71
9050,Baraki,26-582,Zarnowiecka,159,45
9051,Lalin,38-745,Wiazowa,479,
9052,Leszkomin,24-836,Spacerowa,488,53
9053,Baranowice,58-397,Pszeniczna,180,
9054,Gorzyca,91-806,Slowikow,547,
9055,Achrymowce,31-244,Letnia,103,52
9056,Baran,17-756,Topolowa,94,69
9057,Rogalinko,73-922,Rzemieslnicza,828,
9058,Barbarka,38-186,Zarnowiecka,710,
9059,Barciszewo,21-120,Strumykowa,294,82
9060,Kupientyn,49-776,Panoramiczna,867,51
9061,Rogaszyce,37-998,Jachtowa,531,
9062,Bañkowszczyzna,83-752,Rzepakowa,510,
9063,Lubatowa,19-645,Zyzna,479,
9064,Kupowo,97-206,Szkutnicza,107,95
9065,Krakówek,11-820,Szeroka,164,
9066,Rogalin,42-197,Dworcowa,763,
9067,Rogi,28-984,Jesionowa,29,
9068,Badrzychowice,76-334,Krakowska,702,48
9069,Bachów,36-460,Zeglarska,129,22
9070,Barciszewo,34-286,Szafirkow,86,56
9071,Krzepin,31-565,Wiklinowa,119,76
9072,Gorzyce,27-580,Skowronkow,115,
9073,Krzepielów,20-402,Skowronkow,128,25
9074,Baranica,14-650,Limbowa,774,
9075,Krakówek,42-299,Rycerska,185,74
9076,Kupiatycze,83-339,Rozana,612,
9077,Rogalinko,86-834,Magnolii,874,89
9078,Laliny,81-548,Ulanska,765,
9079,Rogity,79-453,Cedrowa,645,
9080,Bajtkowo,71-478,Tatarakow,918,
9081,Bagienice,18-844,Promykowa,669,58
9082,Krzepczów,23-304,Solecka,505,43
9083,Lady,57-652,Cicha,889,
9084,Adamówek,58-944,Polna,192,
9085,Baczków,90-715,Nasturcji,836,69
9086,Krzesimowo,58-629,Niepodleglosci,330,79
9087,Kupnina,55-189,Czeresniowa,797,1
9088,Rogawica,64-248,Panoramiczna,990,
9089,Baraki,81-281,Poziomkowa,422,
9090,Barcino,67-112,Sanatoryjna,828,77
9091,Baczyna,34-788,Zwirowa,945,
9092,Baldram,86-767,Paproci,897,39
9093,Kupinin,66-752,Klonowa,194,91
9094,Laskowizna,69-379,Jesionowa,965,32
9095,Baranki,29-714,Cedrowa,413,
9096,Krapkowice,39-560,Cedrowa,993,
9097,Leszczyny,72-895,Sezamkowa,432,63
9098,Rogawica,88-915,Gwiezdna,575,99
9099,Lubatka,82-797,Kra�cowa,776,91
9100,Gorzuchy,75-935,Strefowa,858,69
9101,Antoniew,28-223,Poziomkowa,165,
9102,Adamowice,21-977,Ksiezycowa,937,
9103,Balewko,49-448,Brzoskwiniowa,81,
9104,Laskowiec,79-292,Slupska,241,55
9105,Krakuszowice,64-964,Przyjazni,2,67
9106,Lakiele,80-153,Syrenki,927,
9107,Bachorze,30-895,Nagietkow,958,47
