id,miasto,kod_pocztowy,ulica,nr_budynku,nr_lokalu
5424,Laskowice,93-186,Macierzy,884,47
5425,Baraki,13-622,Szkutnicza,131,25
5426,Bagrowo,92-838,Syrenki,558,72
5427,Kraplewo,18-258,Jachtowa,237,
5428,Bandysie,84-860,Topolowa,258,90
5429,Lasaki,58-526,Projektantow,605,
5430,Bachmackie,64-145,Czeremchowa,958,
5431,Kramarzewo,78-296,Sanatoryjna,713,65
5432,Lubiana,22-675,Letnia,476,
5433,Krzepocin,29-399,Jezynowa,717,90
5434,Lubawa,21-549,Wichrowa,439,
5435,Lubatowa,11-574,Biwakowa,480,
5436,Krzepin,60-909,Golebia,244,
5437,Leszczyna,58-400,Podmiejska,364,14
5438,Barankowo,62-759,Gerberowa,382,55
5439,Rogi,13-100,Polnocna,516,99
5440,Leszczynek,77-477,Pancerniakow,603,
5441,Rogalki,27-979,Harcerska,173,76
5442,Bagniuki,43-376,Letnia,245,
5443,Adamierz,15-590,Torfowa,555,
5444,Rogaszyce,97-832,Irysow,633,25
5445,Balczewo,51-989,Harcerska,88,
5446,Lubczyna,69-867,Zorzy,689,72
5447,Baczyn,20-583,Gwiezdna,837,
5448,Laryszów,50-429,Stoczniowcow,984,42
5449,Baczyna,87-133,Limbowa,690,0
5450,Bachmatówka,25-262,Sloneczna,822,
5451,Godziszewy,47-750,Promowa,41,
5452,Adamin,46-347,Zakole,351,26
5453,Laseczno,94-825,Strusia,580,
5454,Lubczyna,56-731,Sanatoryjna,113,
5455,Bajdy,71-643,Spacerowa,589,
5456,Kupienin,38-322,Rzeczna,58,
5457,Lubejki,75-853,Zbozowa,441,96
5458,Bajtkowo,48-434,Pigwowa,33,19
5459,Bagatela,14-696,Slowianska,936,20
5460,Abramy,58-335,Modrzewiowa,823,35
5461,Adamówek,83-559,Nagietkow,297,
5462,Lubianki,44-608,Liliowa,509,36
5463,Leszczyna,67-244,Sosnowa,722,7
5464,Kraplewo,65-559,Wiklinowa,886,
5465,Barcie,99-414,Zarnowiecka,426,2
5466,Adaminowo,19-815,Pigwowa,416,
5467,Ladorudz,12-888,Grodzka,463,10
5468,Gorzyczany,59-916,Zefirowa,637,
5469,Banica,68-245,Cedrowa,936,
5470,Barce,52-630,Zacisze,583,
5471,Baciki,48-539,Blawatkow,211,
5472,Grabarka,54-884,Letnia,684,
5473,Gorzów,75-835,Tychowska,158,
5474,Badów,86-102,Stoczniowcow,423,
5475,Baligród,27-187,Cicha,975,36
5476,Kramkowo,37-981,Klonowa,825,
5477,Antoniów,11-962,Rzepakowa,637,76
5478,Luberadz,58-629,Krawiecka,829,17
5479,Grabianka,12-562,Lakowa,396,
5480,Balinka,89-256,Lesna,61,66
5481,Laryszów,29-205,Rubinowa,554,73
5482,Baniocha,85-246,Tatarakow,54,0
5483,Baligród,22-157,Topolowa,398,
5484,Gorzów,35-774,Modrzewiowa,268,99
5485,Bania,12-388,Jeziorna,602,
5486,Gorzuchów,30-464,Daleka,623,
5487,Lubiaszów,91-842,Alabastrowa,62,63
5488,Leszkowice,92-340,Golebia,238,
5489,Baczyna,54-876,Tulipanow,736,
5490,Kuplisk,88-423,Zwirowa,710,
5491,Lamkowizna,50-654,Gajowa,303,61
5492,Rogalik,87-157,Bzow,954,85
5493,Bagno,89-493,Panoramiczna,203,
5494,Bajkowizna,63-462,Grodzka,215,
5495,Barcza,54-372,Gwiezdna,241,
5496,Adamek,92-127,Blekitna,74,
5497,Langanki,10-229,Rumiank�w,14,
5498,Baranówka,69-621,Brzozowa,9,
5499,Anteczków,91-771,Tradycji,2,
5500,Laskowa,79-673,Rubinowa,562,
5501,Baranówko,14-504,Malownicza,242,
5502,Bañska,15-398,Paproci,550,37
5503,Lamkowizna,42-490,Slaska,90,95
5504,Bakaniuk,38-724,Pogodna,299,72
5505,Godziszowa,57-567,Opalowa,793,
5506,Adampol,18-629,Slupska,996,31
5507,Kuranów,47-907,Zytnia,645,30
5508,Krzepocin,22-811,Wspolna,808,
5509,Bachorce,23-229,Slaska,835,64
5510,Barciany,88-137,Jasminowa,270,
5511,Antoninek,79-759,Bliska,800,61
5512,Rogalin,66-857,Paproci,174,
5513,Kramarzewo,49-126,Brzoskwiniowa,240,13
5514,Laska,94-559,Wspolna,991,
5515,Bandysie,48-879,Klonowa,303,12
5516,Lubian,42-859,Jasna,378,
5517,Bañkowszczyzna,78-277,Zeglarska,588,99
5518,Rogalin,96-360,Sportowa,156,
5519,Rogaszyn,94-947,Przyjazni,296,
5520,Rogiedle,93-910,Liliowa,205,45
5521,Gorzów,31-144,Cisowa,367,27
5522,Bagniuki,34-445,Mlodosci,363,
5523,Bacze,52-985,Ziemowita,939,
5524,Gorzyca,74-468,Papiernicza,145,91
5525,Antolka,89-947,Cedrowa,828,
5526,Laskownica,52-369,Rubinowa,293,34
5527,Bañkowszczyzna,75-128,Sportowa,475,
5528,Landzmierz,12-375,Zurawinowa,439,
5529,Barcinek,57-430,Szkutnicza,767,24
5530,Balewo,92-325,Hebanowa,367,68
5531,Bagatela,50-422,Wiazowa,553,
5532,Banino,56-325,Tychowska,928,92
5533,Bachorzewo,45-772,Szafirkow,659,
5534,Krzepocin,77-394,Pogodna,581,
5535,Badów,85-373,Roz,615,13
5536,Lubczyna,54-608,Magnolii,526,
5537,Baldwinowice,54-612,Swiatowida,406,41
5538,Baraki,98-712,Stokrotek,857,87
5539,Gorzuchowo,82-839,Rycerska,281,
5540,Bañska,72-187,Sadowa,123,24
5541,Balcerów,52-289,Blekitna,820,
5542,Lasaki,56-242,Diamentowa,269,28
5543,Gorzycko,35-333,Spokojna,522,
5544,Barciszewo,65-211,Zlota,686,44
5545,Adamowo,54-978,Pogodna,772,
5546,Rogalin,12-843,Malownicza,732,
5547,Kranek,64-399,Sprezarkowa,134,74
5548,Antonielów,80-986,Lniana,858,79
5549,Rogierówko,93-199,Harcerska,672,9
5550,Lamki,24-106,Tychowska,875,
5551,Kupnina,27-176,Orlikow,147,77
5552,Anonin,60-145,Solecka,480,
5553,Lubianków,64-843,Spokojna,515,
5554,Krapkowice,51-446,Ziemowita,738,
5555,Laryszów,70-599,Sadowa,190,17
5556,Krzepocinek,10-168,Rumiank�w,573,
5557,Bagatelka,69-907,Cisowa,453,
5558,Adampol,88-905,Palmowa,997,
5559,Kranek,47-737,Przyjazni,578,10
5560,Baranówka,79-964,Hebanowa,894,
5561,Ladzin,91-265,Gęsia,647,
5562,Laskowice,75-636,Jachtowa,668,
5563,Gorzuchy,56-521,Krakowska,904,
5564,Antonowo,74-953,Lniana,160,37
5565,Grabianowo,59-302,Golebia,186,
5566,Balnica,36-567,Paproci,750,
5567,Baranki,69-711,Malinowa,509,
5568,Antonielów,54-241,Lakowa,26,
5569,Grabczok,67-933,Rumiank�w,250,
5570,Lubczyna,19-836,Orlikow,525,
5571,Krajów,97-604,Szpitalna,189,99
5572,Lamkówko,77-878,Cicha,250,29
5573,Bagny,58-127,Krakowska,632,17
5574,Kuranów,45-974,Jagodowa,667,87
5575,Leszczyniak,49-949,Zeglarska,302,61
5576,Grabek,94-914,Zefirowa,819,38
5577,Barbarka,74-181,Opalowa,637,
5578,Bagicz,52-942,Zytnia,698,
5579,Antonia,30-906,Krakowska,267,
5580,Antoniówka,55-772,Sportowa,134,
5581,Laliny,62-785,Slaska,115,
5582,Lubatka,52-761,Rycerska,430,
5583,Bachów,91-741,Wichrowa,398,56
5584,Banica,46-198,Pocztowa,233,
5585,Grabek,14-485,Gajowa,505,
5586,Lady,40-253,Jasminowa,434,59
5587,Antonielów,60-793,Pogodna,924,69
5588,Rogalino,77-793,Sanatoryjna,816,
5589,Bajtkowo,52-633,Daktylowa,600,
5590,Grabianka,83-619,Krawiecka,246,86
5591,Rogity,86-635,Podmiejska,740,
5592,Bajtkowo,78-682,Swierkowa,308,
5593,Gorzycko,82-877,Nagietkow,54,
5594,Lubatówka,96-565,Liliowa,119,12
5595,Kupienin,48-105,Tradycji,244,
5596,Rogity,76-476,Zytnia,504,
5597,Adamówek,51-310,Palmowa,656,79
5598,Lamkowo,97-515,Polnocna,657,
5599,Krzepocinek,52-734,Cisowa,229,58
5600,Antoninów,31-899,Papiernicza,159,75
5601,Lasaki,37-804,Szkutnicza,597,
5602,Bajdyty,67-439,Kalinowa,24,41
5603,Baniewice,88-596,Gozdzikow,795,
5604,Antoniew,46-460,Pszeniczna,360,83
5605,Rogieniczki,16-667,Tulipanow,967,76
5606,Barankowo,81-706,Morska,223,
5607,Bañska,80-685,Owsiana,876,
5608,Bandysie,90-957,Polna,821,
5609,Krzepczów,49-405,Smiala ,289,50
5610,Bachorza,61-648,Strumykowa,649,29
5611,Kupienino,96-619,Gerberowa,675,84
5612,Bañki,68-611,Prosta,646,
5613,Adamowice,19-438,Nasturcji,436,31
5614,Bagna,82-236,Gozdzikow,185,6
5615,Banaszki,67-488,Jarzebinowa,8,
5616,Baranówko,54-165,Gajowa,936,63
5617,Abramowice,30-875,Wrzosow,972,10
5618,Bagniuki,63-205,Liliowa,827,
5619,Kupienino,24-528,Cisowa,294,
5620,Lubaty,56-490,Magnolii,295,
5621,Antoniówka,49-684,Zwirowa,392,33
5622,Bachorzew,65-987,Tatarakow,907,20
5623,Balcerów,55-131,Zgoda,60,16
5624,Barbarówka,88-704,Nagietkow,766,98
5625,Ladorudz,37-922,Jarzebinowa,912,
5626,Leszczyniak,39-367,Malownicza,444,
5627,Bagniewko,18-903,Cicha,846,47
5628,Barany,62-267,Ptasia,303,
5629,Bachorzyn,93-365,Wesola,52,
5630,Balice,35-521,Leszczynowa,811,
5631,Baciuty,70-492,Diamentowa,306,
5632,Lamki,61-405,Mahoniowa,958,
5633,Bacze,73-240,Wesola,256,
5634,Lubatka,37-780,Stokrotek,208,11
5635,Lady,50-902,Zurawia,993,12
5636,Bandrów,11-474,Blekitna,182,55
5637,Balbinów,38-803,Solecka,172,92
5638,Laskownica,53-250,Zielone Wzgorze,734,25
5639,Leszczynek,89-125,Ziemowita,82,28
5640,Rogawica,90-967,Tatarakow,763,0
5641,Baniewice,91-817,Wrzosow,652,
5642,Antonin,64-587,Wichrowa,373,73
5643,Lubianka,31-223,Bajkowa,21,
5644,Adamczowice,13-955,Spacerowa,25,31
5645,Laska,99-614,Macierzy,721,
5646,Ladzin,58-439,Parkowa,683,17
5647,Bachmatówka,94-137,Golebia,474,
5648,Rogalinek,83-541,Poziomkowa,737,36
5649,Grabczok,57-376,Bajkowa,305,46
5650,Antoniki,34-728,Ksiezycowa,631,
5651,Antonielów,46-194,Gozdzikow,781,
5652,Las,15-486,Hebanowa,502,4
5653,Laska,78-408,Limbowa,25,
5654,Lubasz,51-633,Mahoniowa,819,
5655,Gorzkowiczki,29-530,Olchowa,918,
5656,Banica,47-189,Zielone Wzgorze,721,7
5657,Krakulice,73-322,Swiatowida,795,
5658,Bajorski,55-659,Topolowa,424,93
5659,Antolka,54-454,Wedrowna,860,73
5660,Balinka,25-592,Szpitalna,985,39
5661,Bagniewo,82-155,Klonowa,763,
5662,Rogazy,65-641,Limbowa,801,82
5663,Antonów,91-439,Syrenki,239,48
5664,Bagicz,87-301,Brzozowa,26,76
5665,Adamowice,44-269,Szafranowa,840,
5666,Baczki,93-853,Pszeniczna,50,76
5667,Barchnowy,26-327,Zakole,401,60
5668,Grabek,92-805,Teczy,433,20
5669,Krakowiany,77-516,Owsiana,505,
5670,Kupin,24-807,Krokusow,612,
5671,Bagienki,60-355,Plowce,490,83
5672,Barcin,28-438,Sportowa,602,10
5673,Bandysie,14-961,Koronkowa,309,19
5674,Kramkówka,99-497,Ksiezycowa,896,
5675,Landzmierz,29-524,Malownicza,856,
5676,Rogalice,92-662,Mahoniowa,525,
5677,Kupientyn,23-909,Krokusow,592,80
5678,Kuplisk,17-802,Spacerowa,929,49
5679,Lubenka,92-684,Sadowa,405,70
5680,Rogatka,68-447,Solecka,235,
5681,Barcino,70-431,Harcerska,5,77
5682,Antoninów,56-840,Lniana,135,27
5683,Baranki,65-367,Slupska,414,
5684,Laskowo,66-985,Blawatkow,627,
5685,Godziszów,37-324,Golebia,145,
5686,Antoniewice,27-178,Dworcowa,116,
5687,Antoniówka,22-519,Gajowa,298,
5688,Lubenka,94-202,Owsiana,40,
5689,Barciszewo,25-836,Ziemowita,629,
5690,Adamowo,63-650,Wierzbowa,59,74
5691,Bacze,36-427,Sloneczna,453,
5692,Kuranów,37-264,Rumiank�w,982,8
5693,Anteczków,74-622,Stokrotek,852,68
5694,Gorzuchy,35-949,Limbowa,788,35
5695,Baczków,72-755,Fiolkow,546,31
5696,Kupnina,67-963,Podmiejska,899,94
5697,Barcinek,93-764,Krakowska,207,12
5698,Godziszów,26-626,Klonowa,290,93
5699,Rogaszyn,87-194,Daleka,482,88
5700,Antonów,69-906,Parkowa,274,
5701,Balewko,56-635,Spoldzielcza,169,
5702,Baczyna,94-376,Parkowa,440,
5703,Bagdad,71-171,Spoldzielcza,588,
5704,Bagniewo,55-298,Zielone Wzgorze,64,
5705,Lubaszcz,13-278,Stokrotek,335,15
5706,Balnica,57-750,Niepodleglosci,873,
5707,Gorzuchowo,48-254,Wierzbowa,835,91
5708,Bagniuki,92-943,Strefowa,29,94
5709,Bagny,54-399,Hebanowa,505,64
5710,Lamkowizna,80-397,Gwiezdna,411,58
5711,Kranów,71-761,Czeresniowa,87,56
5712,Leszczyny,37-160,Jodlowa,419,
5713,Adamówka,36-683,Czeremchowa,887,88
5714,Bagdad,87-415,Pogodna,737,
5715,Adamka,27-525,Pocztowa,958,84
5716,Lubaty,63-607,Truskawkowa,638,
5717,Krzepice,14-247,Przyjazni,478,4
5718,Bagieniec,77-502,Wierzbowa,875,
5719,Balbinów,86-702,Szpitalna,88,
5720,Bajorski,35-273,Tradycji,661,
5721,Bachury,15-550,Irysow,919,33
5722,Laskowiec,46-877,Strefowa,100,
5723,Balików,79-634,Sosnowa,77,58
5724,Krakuszowice,64-988,Swierkowa,17,
5725,Bachorzyn,78-511,Jagodowa,6,
5726,Grabianowo,15-516,Akacjowa,3,
5727,Banaszki,18-804,Olchowa,447,87
5728,Bañki,64-492,Sadowa,991,98
5729,Grabczok,46-587,Rybacka,596,
5730,Lubcz,78-196,Poziomkowa,946,
5731,Kranów,33-301,Pocztowa,350,
5732,Balewko,18-420,Szkolna,994,
5733,Lubatka,78-750,Stokrotek,109,
5734,Lubasz,77-560,Jagodowa,112,
5735,Lasanka,39-978,Zeglarska,181,
5736,Bachmatówka,35-135,Szyprow,338,
5737,Lubianków,77-132,Promykowa,669,
5738,Barciany,14-586,Kalinowa,704,8
5739,Lubatowa,50-747,Slupska,844,82
5740,Balków,86-573,Morska,465,95
5741,Lubenia,86-952,Rybacka,463,80
5742,Bagno,77-800,Czeremchowa,647,3
5743,Balków,67-412,Bliska,757,62
5744,Lalkowy,11-479,Jeziorna,592,75
5745,Bandrów,81-842,Limbowa,876,2
5746,Baniocha,19-245,Sprezarkowa,665,88
5747,Bagienki,23-267,Czeremchowa,591,98
5748,Grabianka,38-904,Wspolna,433,97
5749,Kupienino,98-186,Blekitna,388,
5750,Annówka,74-374,Truskawkowa,780,
5751,Bajerze,38-959,Tkacka,981,41
5752,Baranówek,63-869,Zyzna,869,
5753,Baranów,71-328,Wypoczynkowa,597,
5754,Leszczynka,75-346,Debowa,802,
5755,Lubasz,34-457,Spoldzielcza,941,61
5756,Antoniówka,77-805,Stokrotek,244,54
5757,Krakuszowice,89-926,Gerberowa,597,
5758,Kranek,25-689,Jagodowa,178,
5759,Lubianków,83-178,Polna,813,0
5760,Kupno,63-867,Dobra,844,
5761,Lasanka,53-374,Pocztowa,350,
5762,Bachorze,33-291,Rzeczna,589,16
5763,Laska,93-438,Jarzebinowa,103,15
5764,Barcice,55-699,Kalinowa,795,
5765,Lalin,80-507,Magnolii,202,40
5766,Antonin,80-294,Jezynowa,930,48
5767,Laskowiec,63-303,Tulipanow,635,50
5768,Barciszewo,50-724,Zurawia,82,
5769,Baciki,98-859,Krokusow,732,85
5770,Kramarzewo,78-104,Wichrowa,185,32
5771,Balewko,44-974,Sloneczna,783,92
5772,Lubecko,18-857,Tradycji,599,
5773,Rogaszyn,85-971,Tychowska,193,67
5774,Barchnowy,97-790,Tychowska,801,
5775,Bañska,89-628,Tkacka,903,6
5776,Laryszów,57-243,Makow,65,34
5777,Bachlawa,95-789,Azaliowa,14,
5778,Gorzkowiczki,32-114,Polna,941,60
5779,Kuranów,63-268,Topolowa,977,78
5780,Bajdyty,57-649,Glogowa,381,
5781,Baligród,94-727,Tychowska,999,
5782,Bachorzyn,32-838,Olchowa,246,
5783,Bachmatówka,54-273,Dobra,8,
5784,Kupientyn,13-514,Rycerska,360,32
5785,Bagieniec,87-791,Wakacyjna,95,
5786,Kramkowo,38-837,Kra�cowa,751,21
5787,Bagatela,80-276,Stoczniowcow,790,57
5788,Barchaczów,48-413,Olchowa,535,28
5789,Lubecko,46-774,Przyjazni,97,
5790,Balice,66-634,Tychowska,671,51
5791,Lubczyno,22-158,Daktylowa,661,
5792,Barcino,57-448,Letnia,511,67
5793,Bagatela,62-283,Pancerniakow,819,
5794,Baranówek,21-326,Sadowa,65,
5795,Grabianowo,17-457,Zwyciestwa,57,
5796,Bale,88-820,Teczy,24,98
5797,Bagniewko,49-293,Wesola,861,65
5798,Krzeptów,39-294,Stoczniowcow,166,
5799,Balnica,54-266,Szeroka,275,96
5800,Adaminowo,26-945,Paproci,982,2
5801,Lafajetowo,45-335,Kupiecka,185,
5802,Banie,79-219,Strusia,680,60
5803,Laskowo,60-459,Pszeniczna,153,25
5804,Baranki,78-598,Panoramiczna,783,
5805,Antoniówka,58-566,Pszeniczna,364,
5806,Barcino,89-953,Opalowa,481,88
5807,Bachmackie,33-853,Promowa,967,62
5808,Gorzyczany,18-575,Jesionowa,218,64
5809,Kupientyn,62-618,Strefowa,232,29
5810,Grabarka,30-505,Gerberowa,466,
5811,Kurabka,85-823,Wrzesniowa,332,
5812,Adamek,52-574,Zwirowa,475,
5813,Barce,14-271,Jesionowa,34,93
5814,Laseczno,39-228,Cedrowa,305,
5815,Laliki,82-779,Lesna,976,66
5816,Ladorudz,28-261,Sprezarkowa,237,40
5817,Ladorudzek,78-330,Szafirkow,709,74
5818,Kuplisk,76-380,Gerberowa,703,
5819,Bagatele,67-100,Jabloniowa,27,
5820,Lamki,64-163,Zwyciestwa,143,82
5821,Lubaszcz,29-574,Sadowa,859,
5822,Barcie,70-973,Morska,478,33
5823,Balice,26-227,Wiazowa,654,67
5824,Barany,12-622,Tychowska,484,91
5825,Leszczyna,55-989,Zurawinowa,776,44
5826,Krzesimowo,17-954,Cedrowa,617,97
5827,Gorzów,57-190,Projektantow,918,12
5828,Antonin,89-730,Cicha,242,
5829,Krajów,81-717,Tulipanow,533,
5830,Bale,24-979,Przepiorek,841,
5831,Kranek,92-544,Jasminowa,575,
5832,Krzepczów,53-153,Przyjazni,890,
5833,Lubenka,64-672,Sprezarkowa,420,35
5834,Kupin,96-745,Szkolna,604,
5835,Kup,78-964,Krawiecka,352,82
5836,Lubianków,84-769,Cicha,140,6
5837,Gorzów,53-821,Malinowa,307,
5838,Barciany,51-188,Skowronkow,894,51
5839,Abramowice,22-404,Pocztowa,475,33
5840,Bañkowszczyzna,62-902,Wiazowa,815,
5841,Ladeniska,53-203,Opalowa,448,55
5842,Bajdyty,21-456,Jagodowa,634,
5843,Balków,62-525,Wiklinowa,492,95
5844,Gorzupia,41-840,Solecka,966,9
5845,Bañkowszczyzna,94-457,Morska,965,
5846,Bachorzewo,64-662,Palmowa,629,82
5847,Lakiele,22-952,Niezapominajek,300,5
5848,Kramarka,45-673,Plowce,669,
5849,Lubianek,76-971,Sloneczna,736,71
5850,Barcikowo,51-426,Harcerska,261,
5851,Grabianowo,32-794,Limbowa,628,
5852,Bagniewo,69-627,Jasminowa,150,
5853,Barciany,29-651,Szyprow,912,77
5854,Leszkowice,31-595,Przepiorek,681,90
5855,Adamek,91-863,Gwiezdna,289,
5856,Barany,76-108,Sportowa,572,
5857,Kranów,94-744,Kalinowa,935,
5858,Lubatówka,46-554,Wisniowa,825,
5859,Barciany,29-659,Czeremchowa,485,
5860,Laskowa,34-685,Smiala ,204,26
5861,Leszczyniak,44-196,Przepiorek,553,
5862,Kramkowo,84-269,Slaska,488,
5863,Rogaszyn,66-681,Sadowa,678,23
5864,Bandysie,99-555,Strefowa,167,
5865,Lubartów,52-188,Rzemieslnicza,135,
5866,Antoninek,71-147,Szpitalna,451,
5867,Grabarka,79-119,Deszczowa,320,
5868,Antoninów,58-996,Papiernicza,981,33
5869,Rogawica,22-498,Zarnowiecka,540,94
5870,Antonowo,21-778,Liliowa,985,
5871,Lalin,18-690,Sadowa,372,32
5872,Bachorze,88-454,Zurawia,858,70
5873,Barchnowy,26-130,Orzechowa,871,76
5874,Antoniewko,11-271,Szeroka,519,
5875,Balewko,18-268,Zielone Wzgorze,162,90
5876,Laskownica,75-504,Jabloniowa,246,43
5877,Antoniew,24-794,Stoczniowcow,12,98
5878,Grabarka,80-292,Saperow,897,24
5879,Bachorzewo,91-278,Liliowa,768,
5880,Bajtkowo,86-168,Palmowa,762,
5881,Lubasz,72-256,Szpitalna,504,
5882,Barciszewo,63-466,Dobra,855,60
5883,Bachorzewo,36-879,Slupska,125,11
5884,Krzeptów,14-648,Wierzbowa,321,58
5885,Gorzuchy,51-520,Morska,731,84
5886,Gorzycko,96-998,Bzow,880,7
5887,Banino,87-973,Swierkowa,776,
5888,Bagniewo,38-635,Rzepakowa,425,82
5889,Antoniówka,36-925,Rycerska,323,
5890,Bagna,17-670,Cicha,761,60
5891,Krakowiany,33-852,Nagietkow,631,
5892,Kupienino,81-458,Jeziorna,237,
5893,Lamkowizna,46-927,Nagietkow,362,
5894,Baciuty,44-849,Jasminowa,637,6
5895,Baczyn,45-862,Tkacka,189,34
5896,Grabczok,12-384,Spokojna,223,
5897,Kramarka,66-146,Zorzy,414,44
5898,Rogazy,64-236,Slowianska,307,81
5899,Adampol,41-594,Rycerska,929,
5900,Ladzin,35-698,Jodlowa,818,
5901,Adaminowo,35-940,Rzeczna,75,60
5902,Kupno,13-678,Glogowa,33,6
5903,Kranek,18-722,Diamentowa,993,15
5904,Rogienice,78-269,Nagietkow,948,
5905,Laliny,55-585,Pszeniczna,458,54
5906,Kranek,21-477,Poziomkowa,849,70
5907,Lubatka,14-465,Pigwowa,783,
5908,Banica,67-945,Macierzy,360,
5909,Antonowo,72-747,Limbowa,479,
5910,Bachorzew,62-472,Akacjowa,915,
5911,Barchlin,20-251,Rzeczna,720,17
5912,Balice,21-560,Sarzynska,500,25
5913,Landek,57-755,Syrenki,848,
5914,Bachorce,11-703,Koronkowa,448,3
5915,Antonówka,43-196,Modrzewiowa,806,44
5916,Bajkowizna,89-660,Projektantow,511,45
5917,Lubawka,33-668,Strusia,790,
5918,Lady,39-509,Cedrowa,63,34
5919,Bagienica,51-592,Zacisze,857,17
5920,Bachorce,94-484,Bursztynowa,281,
5921,Antoninów,13-680,Lniana,751,
5922,Bachotek,63-955,Szpitalna,77,11
5923,Antoniny,24-536,Kwiatowa,609,80
5924,Rogatka,56-287,Teczy,524,77
5925,Grabia,96-327,Roz,413,
5926,Lubenia,37-484,Lesna,240,
5927,Adamów,77-919,Sezamkowa,91,28
5928,Barcin,97-723,Spacerowa,400,
5929,Antolin,63-651,Solecka,183,59
5930,Balin,89-496,Zytnia,882,
5931,Antoniówka,34-875,Deszczowa,458,18
5932,Leszczynki,75-213,Zgoda,233,
5933,Kramarzówka,31-138,Panoramiczna,159,50
5934,Banaszki,32-328,Zbozowa,502,40
5935,Baraniec,70-660,Swiatowida,168,
5936,Antonie,24-717,Zefirowa,630,
5937,Bagna,99-309,Dworcowa,792,
5938,Lasek,89-820,Ptasia,174,
5939,Bajkowizna,78-657,Sosnowa,352,
5940,Lubatka,30-457,Promowa,506,
5941,Kupimierz,24-869,Liliowa,378,25
5942,Abisynia,56-454,Promykowa,576,92
5943,Adamczycha,14-352,Wrzosow,927,68
5944,Barchów,22-578,Slaska,748,
5945,Kraplewo,12-525,Jabloniowa,122,83
5946,Krzepice,98-693,Jagodowa,337,
5947,Gorzuchów,91-798,Przyjazni,244,
5948,Lubenia,59-157,Golebia,247,96
5949,Bagienki,95-767,Deszczowa,94,80
5950,Lubczyna,78-449,Tatarakow,781,
5951,Balbinów,69-160,Zbozowa,139,21
5952,Achrymowce,13-200,Owsiana,299,
5953,Antonówka,53-960,Wiazowa,569,90
5954,Bagrowo,26-615,Brzozowa,182,
5955,Antonina,46-497,Strefowa,894,
5956,Lubczyna,15-364,Nasturcji,89,
5957,Baniewice,94-953,Strefowa,688,47
5958,Kupientyn,86-293,Wedrowna,995,
5959,Rogalinko,36-741,Sosnowa,398,
5960,Antoninów,56-353,Topolowa,339,20
5961,Adamkowo,78-225,Rzeczna,0,
5962,Bachmackie,83-514,Limbowa,151,
5963,Kupiatycze,98-111,Jarzebinowa,332,
5964,Lubaty,16-366,Diamentowa,628,
5965,Baczków,11-118,Wakacyjna,572,75
5966,Gorzyczki,91-535,Blekitna,613,88
5967,Bagdad,31-714,Lakowa,794,18
5968,Leszkowice,10-371,Wodnika,30,
5969,Adamów,36-524,Stokrotek,534,
5970,Balewo,54-838,Panoramiczna,424,
5971,Bagniuki,83-754,Skowronkow,885,15
5972,Grabianka,77-970,Rumiank�w,327,
5973,Lacka,44-309,Sarzynska,892,8
5974,Gorzków,91-526,Czeresniowa,366,5
5975,Barbarka,32-818,Morska,223,
5976,Baranówka,39-135,Stoczniowcow,321,
5977,Rogalki,44-674,Pancerniakow,327,50
5978,Krakulice,26-228,Wiazowa,472,20
5979,Kurabka,13-495,Zlotych Klosow,81,
5980,Rogielkajmy,26-270,Brzoskwiniowa,578,36
5981,Bachórzec,98-367,Palmowa,553,
5982,Lamkówko,57-826,Cisowa,633,96
5983,Lubianka,85-619,Slupska,531,
5984,Bachlawa,58-776,Gajowa,456,
5985,Krakówek,26-839,Szyprow,789,
5986,Lubasz,35-493,Sosnowa,23,88
5987,Badów,29-925,Zwyciestwa,554,12
5988,Kupowo,71-277,Tychowska,242,
5989,Bagatele,90-375,Bzow,997,96
5990,Lanckorona,84-481,Zurawinowa,750,
5991,Laliny,83-379,Zefirowa,547,
5992,Rogieniczki,30-817,Wakacyjna,148,81
5993,Kuranów,91-563,Zielona,402,74
5994,Antolka,62-144,Szeroka,473,
5995,Krzeptów,95-352,Nadbrzezna,733,
5996,Leszczyna,36-617,Modrzewiowa,870,79
5997,Laskowizna,71-502,Lniana,829,
5998,Bajory,35-209,Jarzebinowa,643,85
5999,Antonia,13-849,Mahoniowa,147,
6000,Luberadz,77-620,Zyzna,704,38
6001,Antoniówka,93-482,Liliowa,353,
6002,Krakulice,83-128,Limbowa,485,
6003,Laskownica,42-819,Lniana,577,
6004,Adamierz,88-450,Macierzy,782,51
6005,Bagna,71-150,Zyzna,310,17
6006,Antolin,45-296,Promykowa,72,74
6007,Barcice,85-525,Wodnika,217,
6008,Antoniewice,14-678,Tulipanow,955,
6009,Krzepin,50-328,Promykowa,664,
6010,Barce,88-243,Mahoniowa,249,
6011,Balików,33-186,Wesola,589,
6012,Kupnina,53-711,Kasztanowa,585,
6013,Kupienino,70-106,Nagietkow,477,81
6014,Banaszki,69-537,Widokowa,985,
6015,Balewko,12-788,Slupska,100,50
6016,Krakówek,88-709,Rycerska,297,
6017,Ladorudzek,90-273,Akacjowa,860,
6018,Baranówek,57-848,Polnocna,298,24
6019,Baligród,16-381,Nagietkow,418,95
6020,Bagniuki,42-536,Wiazowa,661,
6021,Lasek,28-538,Orlikow,120,
6022,Lubczyna,43-407,Promykowa,718,42
6023,Kupna,94-716,Irysow,695,72
